processes,chunk_size,execution_time
2,1,1.1841623783111572
2,2,1.1787536144256592
2,5,1.1825299263000488
2,10,1.1696126461029053
2,25,1.1915183067321777
2,50,1.1782793998718262
2,100,1.1935169696807861
2,200,1.1889543533325195
4,1,0.8270227909088135
4,2,0.8049113750457764
4,5,0.8331670761108398
4,10,0.8163142204284668
4,25,0.8080620765686035
4,50,0.8283445835113525
4,100,0.825847864151001
4,200,1.1459224224090576
8,1,0.7044007778167725
8,2,0.706566572189331
8,5,0.6896886825561523
8,10,0.6836867332458496
8,25,0.6926038265228271
8,50,0.7363719940185547
8,100,0.8836114406585693
8,200,1.2164230346679688
