size,processes,execution_time,actual_speedup,ideal_speedup
1024,1,1.9778039455413818,1.0,1
1024,2,1.160203456878662,1.7047044066411767,2
1024,3,0.9000990390777588,2.1973181390881598,3
1024,4,0.7769737243652344,2.5455223047049524,4
1024,5,0.7045729160308838,2.8070961862727746,5
1024,6,0.6723172664642334,2.9417717559788406,6
1024,7,0.6465597152709961,3.058965628120543,7
1024,8,0.6471514701843262,3.056168511798405,8
1024,9,0.6604087352752686,2.9948179663568544,9
1024,10,0.6587498188018799,3.0023597564528663,10
1024,11,0.7076647281646729,2.7948318841194935,11
1024,12,0.7089402675628662,2.789803367130641,12
1024,13,0.7309150695800781,2.705928537877404,13
1024,14,0.827153205871582,2.3910974792841966,14
1024,15,0.8940329551696777,2.2122271154602084,15
1024,16,1.044050931930542,1.8943558068419597,16
1024,17,1.1482892036437988,1.722391832358375,17
1024,18,1.1810674667358398,1.6745901493735258,18
1024,19,0.833967924118042,2.3715587714395574,19
1024,20,1.3593814373016357,1.4549293460026285,20
1024,21,1.4457898139953613,1.3679747404471114,21
1024,22,1.4588117599487305,1.355763642603821,22
1024,23,1.5669407844543457,1.2622072034650056,23
1024,24,1.6235342025756836,1.2182089803859142,24
2048,1,6.76789665222168,1.0,1
2048,2,3.5526881217956543,1.9050072565336653,2
2048,3,2.5254898071289062,2.679835267248906,3
2048,4,2.0091774463653564,3.36849125221117,4
2048,5,1.70963454246521,3.958680340222128,5
2048,6,1.5140504837036133,4.470060097115326,6
2048,7,1.4023890495300293,4.825976539455829,7
2048,8,1.3310163021087646,5.084758647583144,8
2048,9,1.2976927757263184,5.215330453260549,9
2048,10,1.2771384716033936,5.299266134959407,10
2048,11,1.2727203369140625,5.317662062846935,11
2048,12,1.2828319072723389,5.275747051390489,12
2048,13,1.3071677684783936,5.177527181610237,13
2048,14,1.3577942848205566,4.984478670946911,14
2048,15,1.4734959602355957,4.593088026613638,15
2048,16,1.5706696510314941,4.308924316311231,16
2048,17,1.659965991973877,4.077129703225984,17
2048,18,1.7587997913360596,3.848019931296726,18
2048,19,1.7545390129089355,3.8573645854707186,19
2048,20,1.8732898235321045,3.6128401314115672,20
2048,21,1.9436366558074951,3.4820791386083,21
2048,22,2.0177760124206543,3.3541367379536218,22
2048,23,2.1001617908477783,3.2225596531254213,23
2048,24,2.171523332595825,3.1166584998796116,24
4096,1,25.667170763015747,1.0,1
4096,2,13.00646185874939,1.9734168324762014,2
4096,3,8.962336301803589,2.8638928398447248,3
4096,4,6.943870782852173,3.6963779375619428,4
4096,5,5.731235980987549,4.478470411646362,5
4096,6,4.921510457992554,5.215303509379352,6
4096,7,4.3980958461761475,5.835973489602699,7
4096,8,4.132403135299683,6.211197195104819,8
4096,9,3.9526636600494385,6.493638966158509,9
4096,10,3.8241515159606934,6.711860305714824,10
4096,11,3.68344783782959,6.968246027379527,11
4096,12,3.6151516437530518,7.099887720441376,12
4096,13,3.5813045501708984,7.1669891246168715,13
4096,14,3.591428279876709,7.146786393266604,14
4096,15,3.6328556537628174,7.065287809173029,15
4096,16,3.761422872543335,6.823792918997315,16
4096,17,3.8491275310516357,6.6683087416444,17
4096,18,3.8660361766815186,6.639143968137314,18
4096,19,3.9314024448394775,6.528756880819349,19
4096,20,3.9303836822509766,6.530449146459884,20
4096,21,3.9537272453308105,6.491892123648039,21
4096,22,4.016683578491211,6.390140089814373,22
4096,23,4.141618490219116,6.197376900753068,23
4096,24,4.219507694244385,6.082977594288316,24
8192,1,104.27943968772888,1.0,1
8192,2,52.229727029800415,1.9965534115893573,2
8192,3,35.2387592792511,2.95922563167908,3
8192,4,26.98905062675476,3.8637683529466087,4
8192,5,22.094970703125,4.7196007222123235,5
8192,6,18.922967433929443,5.510733982491178,6
8192,7,16.871453762054443,6.180821235586917,7
8192,8,15.446596384048462,6.750965526322496,8
8192,9,15.323744773864746,6.805088522851255,9
8192,10,14.37664532661438,7.253391686215167,10
8192,11,13.894127607345581,7.505288754696493,11
8192,12,13.331118822097778,7.8222571623076655,12
8192,13,13.154478311538696,7.9272957253088645,13
8192,14,13.15627908706665,7.92621067078467,14
8192,15,12.991307735443115,8.02686240764137,15
8192,16,12.985016822814941,8.030751219706374,16
8192,17,12.764018058776855,8.16979725408832,17
8192,18,12.677326202392578,8.225665098690001,18
8192,19,12.56058144569397,8.302118826153391,19
8192,20,12.431530237197876,8.388302783168385,20
8192,21,12.376301050186157,8.425735546095202,21
8192,22,12.308040380477905,8.472464865579182,22
8192,23,12.288838386535645,8.485703563485986,23
8192,24,12.427947282791138,8.390721115475252,24
